"PitcherId","Pitcher"
"10109174","Kopetski, Josh"
"1000198484","Wells, Mateo"
"10105468","Young, Sam"
"825306","Ralamb, Karl"
"10922353","Brown, Kevin"
"1000142989","Nadel, Jasper"
"822389","Hemmesch, Tyler"
"10102352","Curley, TJ"
"831436","Wells, Micah"
"1000347281","Kapica, Andrew"
"826712","Achey, Thomas"
"831181","Hughes, John"
"832161","Devenney, Michael"
"1000135304","Waterman, Ben"
"839723","Michel, Sam"
"1000571892","Beasley, James"
"10308467","Glickman, Mason"
"806175","O'Donnell, Landon"
"839407","Marzo, Ethan"
"1000145290","Santerre, Ethan"
"10927946","Diaz, Brycen"
"1000439668","Galusha, Thomas"
"1000263013","Chamberlain, Liam"
"1000145375","Hines, Jacob"
"807066","Salsberg, Zev"
"835368","Fellings, Tro"
"10106346","Kochanowicz, Cole"
"830993","Curry, Stephen"
"1000507608","Payne, Alex"
"1000363576","Gyauch-Quirk, Noah"
"821517","Bollinger, MJ"
"821521","Hickman, Benton"
"1000396983","Gibson, Cole"
"826310","Barton, Hudson"
"836324","McCarthy, Dylan"
"808838","VanDeWater, Ryan"
"832396","Billings, Luke"
"10147688","Confreda, Brennan"
"1000409959","Delph, Michael"
"814196","Smith, Jack"
"10151000","Cruz, Matthew"
"10249738","Beames, Teagan"
"814519","Applefield, Kalen"
"831012","Christopher, Mason"
"829145","Snyder, Garrett"
"822764","McCain, Bryce"
"822763","Kennedy, Jake"
"1000095497","Tamm, Preston"
"1000310698","Tringe, Andrew"
"1000144772","Franco, Samuel"
"10997663","Tarisa, Hayden"
"1000266232","Scholl, Logan"
"1000275061","Mucciarone, Alfred"
"1000403367","Williams, Riley"
"1000152694","Mowad, Ian"
"1000072310","Bruno, Gregory"
"1000363270","LeFrancois, Jake"
"1000265303","Mahoney, Matt"
"10149518","Allen, Caleb"
"1000412303","Ensell, Jack"
"1000230434","Hulcher, Jackson"
"1000504618","Kuzior, Brodie"
"1000214404","Kahn, Matthew"
"824464","DeRossi-Cytron, Eli"
"1000301823","Vargas, Aiden"
"1000143508","Brown, Ryan"
"10079512","Collins, Kody"
"842265","Pavia, Niklas"
"1000143428","Foster, Jakob"
"10062877","Phillips, Mason"
"10027947","Burgess, Brady"
"10898942","Santaella, Eric"
"1000304553","Guthrie, Parker"
"1000462608","Causey, Dylan"
"1000337363","Hegarty, John"
"839726","Fryer, Justin"
"812926","Bergsma, Charley"
"816116","Jacobs, Andrew"
"1000469595","Perry, Samuel"
"830350","Telfer, Trey"
"1000252876","Moore, Kellen"
"10321666","LaPrade, Joe"
"837589","Maher, Cooper"
"10074062","Sams, Steven"
"1000273378","Currier, Nolan"
"1000369132","Silverstein, Justin"
"1000166732","Hill, Alex"
"1000336706","LaBuda, Maddex"
"1000115656","Costello, Anthony"
"1000199116","Schmidt, Samuel"
"1000390587","Ruditzky, Jack"
"1000467210","Ruggiero, Dominic"
"1000467077","Mulvaney, Jimmy"
"821733","Davis, Jack"
"10109633","Dally, Jake"
"840325","McDermott, Eamon"
"1000511452","Longoria, Tyler"
"840595","Gilson, Brayden"
"828053","Beliveau, Tanner"
"1000222328","Borrero, Ismael"
"10090619","Zimmerman, Jack"
"1000470412","Seelig, Koby"
"1000328184","Korthas, Jack"
"1000097853","Diehl, Liam"
"835480","Stone, Tyler"
"10106321","Yochum, Simon"
"1000282000","Tedeschi, Tyler"
"1000295537","Krzysiak, Brody"
"1000213935","Kerstetter, Richie"
"1000143629","Johnson, David"
"1000401321","Higgins, Matt"
"1000249842","Batt, Kyle"
"10108654","Eaton, Elliott"
"1000263844","Tamburro, Nick"
"822455","Walker, Brendan"
"828089","Wren, Grant"
"10149462","Kimble, Kaden"
"10264229","Lenahan, Jake"
"1000174557","Basso, Owen"
"1000313335","Madigan, Michael"
"1000271565","Frederick, Victor"
"1000144691","Pinsonnault, Jason"
"831961","Mass, John"
"837529","Hale, Charlie"
"836323","Deschenes, Luke"
"807132","Wall, Carter"
"1000318641","Hauser, Rex"
"1000145142","Rumpf, Brennan"
"1000190925","Sliwkowski, Drew"
"10146182","Gendi, Andrew"
"10002314","Budd, Davis"
"834974","Miller, Maddox"
"10103561","Smith, Glenn"
"1000464224","Rhodes, Parker"
"815353","Booth, Braden"
"1000337479","Mulligan, Sean"
"835934","Stahl, Zane"
"831525","Bailey, Ryan"
"10294512","Lippman, Hank"
"829229","DeLoreto, Dominic"
"813308","Lepine, Andrew"
"837528","Gilchrist, Rob"
"1000297889","Reid, Dylan"
"1000446176","Sarno, Jack"
"10318050","Doney, Josh"
"10148863","Geissler, Michael"
"1000267754","Mulvehill, Jake"
"1000144647","Hunt, Ethan"
"10031157","Milewski, John"
"1000115152","Sejnoha, Trey"
"832080","Middleton, Andrew"
"1000510342","Antelman, Keegan"
"831440","Smith, Brian"
"1000323758","Griffith, Ben"
"10150672","Rondon, Julian"
"1000390289","Gates, Garret"
"1000208284","Davis, Ty"
"263296","Riordan, Liam"
"838311","Hwang, Alex"
"803451","Power, Trey"
"839110","Lodgek, Jake"
"10180423","Lovinelli, Madux"
"838364","Heyl, Matthew"
"831151","Cruz, Angel"
"822816","Marchetti, Max"
"838148","Waddle, Cooper"
"1000139061","Gearhart, Warner"
"10148020","Brown III, Robert"
"10090742","Pleasant, Carver"
"1000571885","Keaveney, Cameron"
"1000571884","Lee, Lorcan"
"837586","Mahoney, Tom"
"10178850","Caldwell, Jackson"
"1000467061","Engle, Harrison"
"832095","Powers, Callen"
"837591","Longo, Scott"
"822820","Coniglio, Nick"
"814192","Hernandez, Chris"
"815956","Grant, Alex"
"830549","Shaw, Connor"
"839405","Gelbsman, Aidan"
"10960783","Urian, Nolan"
"10030873","Freeman, Cameron"
"815865","O'Connell, Aiden"
"840395","Cavallo, Hudson"
"837543","Spirito, Frank"
"1000389057","Calise, Rocco"
"1000571891","Dooley, Joe"
"1000115690","Bassett, Nathan"
"10923236","Formus, Sam"
"1000460180","Bounds, Burkley"
"838275","Zagar, Kyler"
"812773","Allen, Will"
"827355","Smith, Drew"
"10108803","Bradshaw, Michael"
"10147514","Taylor, Will"
"1000145570","Weber, Max"
"832255","McClaskey, Mickey"
"10150954","Jernigan, Connor"
"822825","McSweeney, David"
"814104","Schuyler, T.J."
"10108996","Bubba, Anthony"
"1000527403","Green, Artie"
"10121418","Hendrix, Charlie"
"838303","Deering, Sawyer"
"835224","Renfroe, Ryan"
"1000145668","McNaught, Ray"
"838611","Chamberlain, Chase"
"828083","Olson, Joe"
"1000352992","Luther, Vincent"
"840006","Young, Joey"
"830780","Vorster, Kian"
"1000136491","Virtudes, Timmy"
"823234","Gold, Ryan"
"1000155007","Wheaton, Gage"
"840475","Pontbriant, Dominic"
"1000561206","Gouin, Justin"
"10074043","Morr, James"
"838048","Leed, Braden"
"1000467076","Miller, Brendon"
"10139899","Creed, Will"
"1000194913","Santivanez, Nicholas"
"1000145336","Ballou, Jack"
"834646","Gregory, Calvin"
"815871","Lane, Connor"
"1000463233","Jennings, Parker"
"827866","Bradley, Grant"
"1000145617","Kelly, Nick"
"1000236632","Poncini, Michael"
"1000439977","Bouchard, Brady"
"1000187241","Hinchliffe, Jackson"
"1000145756","Bronson, Steven"
"1000150216","Coleman, Will"
"10106652","Sarre, Serigne"
"10303050","Kennedy, Jacob"
"839430","Hartman, Trace"
"1000304871","Guzman, Randy"
"1000349851","Arroyo, Ashton"
"10050660","Trout, Luke"
"837524","Aasland, Tristan"
"1000096079","Yennaco, Cole"
"824472","Falla, Nick"
"1000347188","Colagrande, Hunter"
"815405","Gregor, Jake"
"837403","Ogg, Robert"
"834868","Edwards, Mack"
"10314161","Jachens, Lukas"
"1000460328","Lind, Parker"
"10997666","Lazaro, Danny "
"1000161274","Jones, Charlie"
"1000571654","Paradis, Jordan"
"1000390898","Collender, Sebastian"
"828347","Schlote, Nate"
"10070692","Rose, Ethan"
"10083845","Berry, Noah"
"1000323482","Geisler, Nolan"
"1000142957","Brown, Ian"
"1000149335","Kiafoulis, Anthoni"
"839428","Fleming, Eli"
"1000571883","Gamelli, Gian"
"1000231088","Brodt, Walker"
"837536","Peters, Kyle"
"1000368863","Fithian, Luke"
"1000279173","Koch, Bryce"
"1000480612","Pontbriant, Dominic"
"1000336839","Faulcon, Kayden"
"1000278041","Rettig, Will"
"1000437384","Magill, Gus"
"10285333","Creighton, George"
"1000092129","Whitehill, Simmi"
"1000450055","Terzo, Noah"
"1000115702","Blumetti, Tyler"
"1000404002","Hawes, Jack "
"1000145419","LaParde, Joe"
"1000349944","Sotero, Quinn"
"830275","Giangreco, Kristofer"
"1000261675","Sullivan, Thomas"
"1000419281","Vicini, Brant"
"1000336830","Paradis , Gordan "
"831148","Basel, Andrew"
"1000455563","Dawson, Jack"
"1000126772","Andrews, Jake"
"1000255572","Elson, Beau"
"1000161267","Denton, Aiden"
"1000452695","Anderson, Rhys"
"1000229021","Wertz, Andrew"
"832419","Lordi, James"
"1000450955","Rosario, Thomas"
"1000455530","Forrest, Charlie"
"813967","Fernandez, Michael"
"811689","Mastroianni, Marcello"
"1000352719","Donahue, Marshall"
"831902","Tahnk, Owen"
"1000361569","Lepine, Andrew "
"1000144645","Miles, Elliot"
"1000136252","Buecker, Brendan"
"1000091387","Reese, Ripken"
"1000142924","Wywoda, Declan"
"10106426","Longoria, Tyler"
"1000298738","Oppenheim, Drew"
"10270744","Creighton, Jay"
"1000356055","Smith, Drew"
"1000452694","Bardwell, Jacob"
"830748","Mitchell, Sam"
